news,label
เปิดจองฉีดวัคซีนไฟเซอร์ อายุ 12-18 ปี ผ่านไลน์หมอพร้อม,FALSE
"โรงพยาบาลกรุงเทพเปิดให้ลงทะเบียนจองวัคซีน ""ไฟเซอร์"" ผ่านเว็บ siampfizer",FALSE
สธ. แจงไฟเซอร์ แบ่งด่านหน้า 2 แสนโดส,FALSE
" ""ไฟเซอร์"" หาย จ.ตาก ",FALSE
" นัดฉีดวัคซีนยี่ห้อ ""ซิโนฟาร์ม"" ที่รพ.ศิริราช ต้องเสียค่าใช้จ่าย ",FALSE
คนไทยเก็บเห็ด หลงป่าข้ามไปลาว ได้ฉีดวัคซีน mRNA,FALSE
" ""วัคซีนไฟเซอร์"" ส่วนหนึ่งถูกส่งไปบุรีรัมย์ ทั้งที่ไม่ใช่พื้นที่ระบาดหนัก ",FALSE
โรงพยาบาลราชวิถี ให้ลงทะเบียนฉีดวัคซีนแอสตร้าฯไม่จำกัดอายุ,FALSE
ตร.สันกำแพงเสียชีวิตหลังได้รับวัคซีน,FALSE
สธ.ฉีด ไฟเซอร์ ให้บุคลากรการแพทย์ น้อยกว่า 5 แสนโดส เรียกเก็บเงิน มีกลุ่ม VIP,FALSE
" นัดฉีดวัคซีนยี่ห้อ ""ซิโนฟาร์ม"" ที่รพ.ศิริราช ต้องเสียค่าใช้จ่าย ",FALSE
เปิดจองฉีดวัคซีนไฟเซอร์ อายุ 12-18 ปี ผ่านไลน์หมอพร้อม,FALSE
ยา 6 ชนิดใช้รักษาโควิดด้วยตนเอง,FALSE
"""ไทยร่วมใจ""  แจ้งคิวฉีดวัคซีนโควิด-19 ใหม่",FALSE
วัคซีนแอสตร้าเซนเนก้า ที่ฉีดวันที่ 15 มิ.ย.หมดอายุ,FALSE
รัฐบาลนำน้ำเปล่ามาฉีดแทนวัคซีนโควิด-19 ให้กับประชาชน,FALSE
ชวนฉีดวัคซีน Pfizer ที่ลาวฟรี,FALSE
กทม.ฉีดวัคซีนฟรีใน11ร.พ.,FALSE
มีข่าวการเก็บเงิน-จองฉีดวัคซีนไฟเซอร์,FALSE
ส่วนผสมในวัคซีนโควิด อันตรายและไม่ปลอดภัย,FALSE
จ.สุพรรณบุรีระบุหากฉีดวัคซีนไม่ครบ2เข็มห้ามติดต่อราชการ,FALSE
คำเตือนจากแพทย์ทั่วโลก ห้ามฉีดวัคซีนโควิด-19,FALSE
อนามัย กทม. ไม่รับตรวจฟันผู้ที่ฉีดวัคซีนไม่ครบ 2 เข็ม,FALSE
กินน้ำใบกะเพรา ช่วยล้างสารพิษจากวัคซีนได้,FALSE
อสส.ตรวจสัญญาซื้อ #วัคซีนโควิด ของ #โมเดอร์นา,FALSE
คนไทยเก็บเห็ดในลาวได้ฉีดวัคซีนไฟเซอร์,FALSE
สหรัฐฯ ไม่บริจาค #วัคซีนไฟเซอร์ ให้ไทยอีก 1 ล้านโดส,FALSE
มีวัคซีนไฟเซอร์นำเข้ามาแล้ว,FALSE
อภ.โต้ข่าวบวกกำไรภาษีนำเข้า“โมเดอร์นา” 88%,FALSE
ไทยยังไม่เซ็นรับวัคซีนไฟเซอร์ ที่สหรัฐฯ จะบริจาคเพิ่มอีก 1 ล้านโดส ยัน,FALSE
เลือดของผู้บริจาคที่ฉีดวัคซีนโควิด-19 มีสีดำคล้ำ ไม่สามารถนำไปใช้รักษาผู้ป่วยได้,FALSE
ฟังชัดๆ ทำไมต้องซื้อซิโนแวค 12 ล้านโดส จอห์นสันแอนด์จอห์นสัน ไม่มาในไตรมาส 4 แอสตร้าเซนเนก้า ตั้งเป้า 10 ล้านโดส ได้แค่ 5 ล้านต่อเดือน การซื้อ ซิโนแวค เป็นเรื่องสมเหตุสมผล,TRUE
วัคซีนแก้ขัด ศบค.รับแล้ว เหตุสั่ง ซิโนแวค เพิ่ม 12 ล้านโดส เพราะ จอห์สัน แอนด์จอห์นสัน ส่งไม่ได้ ส่วนแอสตร้าฯ ที่ฟุ้งจะได้ 10 ล้านโดสต่อเดือน ได้เพียง 5 ล้านโดส จึงต้องสั่งมาเสริม,TRUE
ลงทะเบียนกันอีก กรมการแพทย์ เปิดลงทะเบียน คนท้องฉีดไฟเซอร์ 20 ส.ค.นี้,TRUE
ยืนยันฉีดครบล้านโดสแน่ โฆษกรบ. ระบุ ล่าสุดฉีดวัคซีนแล้ว 24 ล้านโดส คาดสิ้นส.ค.จะฉีดครบ 30 ล้านโดส ส่วน ต.ค.-ธ.ค.ฉีดได้เดือนละ 15 ล้านโดส รวมแล้ว 75 ล้านโดส แสดงว่ากย.ต้องฉีดได้ 25 ล้านโดส หรือวันละ 8.3 แสนโดส ขณะที่สังคมตั้งคำถามทำได้ไหม,TRUE
รอต้นปีหน้า มธ.เล็งนำเข้าวัคซีน ‘โนวาแวกซ์’ เป็นบูสเตอร์โดสเข็ม 3 ต้นปี　65,TRUE
ด่วน ครม.ทุ่ม 9.3 พันล้าน ซื้อไฟเซอร์ 20 ล้านโดส ส่งมอบปลายก.ย. เร่งหาอีก 10 ล้านโดส,TRUE
"ลุ้นกันอีก รพ.ธนบุรี เปิดลงทะเบียนโมเดอร์นา 17-20 ส.ค. เข็มละ 1,650 เริ่มฉีดม.ค.-มี.ค.65​",TRUE
