news,label
กรมอุตุฯ เตือน พายุโซนร้อน โคนี ฉบับ 11 เริ่มมีกำลังอ่อนแรงลง,TRUE
6-7 พ.ย. อีสาน-ตะวันออก เตรียมรับมือ พายุ โคนี,TRUE
เฝ้าระวัง ฝนหนัก 13 พ.ย. ช่วงหลังเที่ยงคืน ตราด 23 องศาเซลเซียส มีฝนบางพื้นที่จนถึงช่วงเช้า ตกหนักเป็นแห่งๆ 12.3 มม. ลมพัดอ่อน 14-20 กม./ชม,TRUE
ศูนย์ป้องกันน้ำท่วม รายงาน 19.00 น. กทม. ไม่พบกลุ่มฝน อุณหภูมิที่สำนักการระบายน้ำ 29 องศาเซลเซียส ความชื้นสัมพัทธ์ 65% ,TRUE
"แผ่นดินไหว ประเทศเมียนมา 20.23,95.94 ขนาด 3.4 วันที่ 5 พฤศจิกายน 2563 เวลา 20:36 น. ตามเวลาประเทศไทย",TRUE
กรมอุตุฯ ประกาศเตือน 8 จังหวัดโดนพายุโคนีถล่มเกษตรกรเตรียมป้องกันความเสียหาย,TRUE
ประกาศกรมอุตุนิยมวิทยาเตือนภัย พายุโซนร้อน โคนี พายุระดับ 3 บริเวณทะเลจีนใต้ตอนกลาง มีผลกระทบตั้งแต่วันที่ 6 – 7 พ.ย. 2563,TRUE
กรมอุตุนิยมวิทยา เผยพายุโซนร้อน โคนี อ่อนกำลังลงเป็นพายุดีเปรสชัน จะเคลื่อนขึ้นฝั่งบริเวณเมืองกวีนอน เวียดนาม ในเช้าวันนี้ (6 พ.ย.) ทำให้ภาคอีสานตอนล่างและภาคตะวันออก มีฝนปานกลาง-ลมแรง 6-7 พ.ย.นี้ ,TRUE
กรมอุตุนิยมวิทยา เผยไทยตอนบนอากาศเย็น และมีฝนบางแห่ง ขณะที่บริเวณยอดดอยและยอดภูอากาศหนาว ส่วนภาคใต้ตอนล่างมีฝนตกหนัก ,TRUE
(เวลา 15.04 น.) หลังพายุโซนร้อนโคนีขึ้นฝั่งเวียดนาม และได้อ่อนกำลังลงเป็นพายุดีเปรสชัน โดยจะเคลื่อนตัวเข้าประเทศกัมพูชา อ่อนกำลังลงเป็นหย่อมความกดอากาศต่ำ และสลายตัว,TRUE
