status_id,status_text,status_datetime,username
1477952879684161539,"ตำรวจยืนยัน 36 จุดเสี่ยงโควิด กทม. ส่งต่อผ่านสื่อออนไลน์เป็นข่าวปลอม ชี้ข้อมูลเก่าจากระบาดระลอกแรก แนะ ปชช.อย่าหลงเชื่อหรือส่งต่อ///

https://t.co/bdyxcGhiW9

#ทีมข่าวออนไลน์ช่อง8
#ข่าวช่อง8 https://t.co/YJsnr28Dth",2022-01-03 10:40:00+00:00,thaich8news
1485828363772215299,"นายกฯ มีความห่วงใยประชาชน โดยเฉพาะช่วง #โควิด19 ระบาด ที่ทุกคนได้รับความเดือดร้อนอยู่แล้ว แต่ยังมีบางกลุ่มพยายามสร้างข่าวปลอมรายวัน มุ่งสร้างความเข้าใจผิดในประเด็นต่างๆ/// 

#ข่าวการเมือง #ไทยรัฐออนไลน์ 
https://t.co/5DU1cN6AOk",2022-01-25 04:14:21+00:00,Thairath_News
1482244593878188032,"ข่าวปลอม อย่าแชร์ กินน้ำใบกะเพรา ช่วยล้างสารพิษจากวัคซีนได้ https://t.co/hsQwDcLX9l///

#ข่าวปลอม #วัคซีนโควิด #โอมิครอน #โอไมครอน #โควิด19 #โควิดวันนี้ #COVID_19 #โควิด #COVID19 #TNN #TNNThailand #TNNช่อง16 #TNNONLINE",2022-01-15 06:53:44+00:00,tnnthailand
1481976599356805120,"คลังชี้แจงลงทะเบียน ""คนละครึ่ง เฟส 4"" 16 ม.ค.65 ไม่เป็นความจริง!///
https://t.co/mV0rT3fAsY

#คนละครึ่ง #คนละครึ่งเฟส4 #โควิด19 #โควิดวันนี้ #COVID_19 #โควิด #COVID19 #TNN #TNNThailand #TNNช่อง16 #TNNONLINE",2022-01-14 13:08:49+00:00,tnnthailand
1478212165160947715,"ข่าวปลอม อย่าแชร์ 36 สถานที่เสี่ยงโควิดในพื้นที่กทม.///

https://t.co/iSt83yOYZW

#วัคซีนโควิด #โอมิครอน #โอไมครอน #Omicron #โควิด19 #โควิดวันนี้ #COVID_19 #โควิด #COVID19 #TNN #TNNThailand #TNNช่อง16 #TNNONLINE",2022-01-04 03:50:18+00:00,tnnthailand
1478286924510945282,"นายกฯ โต้โซเชียลกุข่าวติดโควิด-19 ไม่เป็นความจริง ชี้ยังแข็งแรง พร้อมทำงานให้ประชาชนเต็มที่///
.
อ่านข่าว https://t.co/dp2vWu2EQJ
.
#ข่าวการเมือง #ข่าวช่อง3 #Ch3plus #Ch3ThailandNews https://t.co/HZ4VyJgx7j",2022-01-04 08:47:22+00:00,Ch3ThailandNews
1481578330021576707,"""สายด่วนโควิด"" 1668 ไม่ฟรี ซ้ำเรียกเก็บเงินราคาแพง/// จริงหรือไม่ เช็คด่วน #ข่าวปลอม #สายด่วนโควิด #โอไมครอน #OMICRON #เดลตาครอน
https://t.co/zhN12FtKRg",2022-01-13 10:46:14+00:00,nnanews
1479759785918558212,"""ศิลาบำบัด"" รักษาโรคมะเร็งยัน ""โควิด-19"" หมอตอบชัด ไม่มีอยู่จริง ///
#โควิด  #โควิด-19 #กระทรวงสาธารณสุข #ข่าวปลอม #ศิลาบำบัด
https://t.co/TwYzMUs8V2",2022-01-08 10:20:00+00:00,nnanews
1479699387865616389,"ไหนใครลือ ""นายกฯ สั่งล็อกดาวน์"" 5 จังหวัด หลังมีความเสี่ยงสูงจากโควิด-19 แพร่ระบาด งานนี้ยืนยันแล้วเป็นข่าวปลอม วอนอย่าหลงเชื่อ ///
#นายกสั่งล็อกดาวน์ #โควิด-19 #ความเสี่ยงสูง #ข่าวปลอม
https://t.co/wv34QZ4iWF",2022-01-08 06:20:00+00:00,nnanews
1479014122666799104,"ใครบอก ""หน้ากากผ้า"" ป้องกันโควิดสายพันธุ์โอไมครอนไม่ได้ งานนี้กรมอนามัย กระทรวงสาธารณสุข แจงแล้วเป็นข่าวปลอม/// พร้อมแนะควรเลือกผ้าแบบไหนดี 
#หน้ากากผ้า #หน้ากากอนามัยแบบผ้า #ป้องกันโควิด #โอไมครอน #ป้องกันโอไมครอน #โควิด19วันนี้
https://t.co/z7YW5b1fUN",2022-01-06 08:57:00+00:00,nnanews
