status_id,status_text,status_datetime,username
1477952879684161539,ตำรวจยืนยัน 36 จุดเสี่ยงโควิด กทม. ส่งต่อผ่านสื่อออนไลน์เป็นข่าวปลอม ชี้ข้อมูลเก่าจากระบาดระลอกแรก แนะ ปชช.อย่าหลงเชื่อหรือส่งต่อ,2022-01-03 10:40:00+00:00,thaich8news
1485828363772215299,นายกฯ มีความห่วงใยประชาชน โดยเฉพาะช่วง #โควิด19 ระบาด ที่ทุกคนได้รับความเดือดร้อนอยู่แล้ว แต่ยังมีบางกลุ่มพยายามสร้างข่าวปลอมรายวัน มุ่งสร้างความเข้าใจผิดในประเด็นต่างๆ,2022-01-25 04:14:21+00:00,Thairath_News
1482244593878188032,ข่าวปลอม อย่าแชร์ กินน้ำใบกะเพรา ช่วยล้างสารพิษจากวัคซีนได้ https://t.co/hsQwDcLX9l,2022-01-15 06:53:44+00:00,tnnthailand
1481976599356805120,"คลังชี้แจงลงทะเบียน ""คนละครึ่ง เฟส 4"" 16 ม.ค.65 ไม่เป็นความจริง!",2022-01-14 13:08:49+00:00,tnnthailand
1478212165160947715,ข่าวปลอม อย่าแชร์ 36 สถานที่เสี่ยงโควิดในพื้นที่กทม.,2022-01-04 03:50:18+00:00,tnnthailand
1478286924510945282,นายกฯ โต้โซเชียลกุข่าวติดโควิด-19 ไม่เป็นความจริง ชี้ยังแข็งแรง พร้อมทำงานให้ประชาชนเต็มที่,2022-01-04 08:47:22+00:00,Ch3ThailandNews
1481578330021576707,"""สายด่วนโควิด"" 1668 ไม่ฟรี ซ้ำเรียกเก็บเงินราคาแพง",2022-01-13 10:46:14+00:00,nnanews
1479759785918558212,"""ศิลาบำบัด"" รักษาโรคมะเร็งยัน ""โควิด-19"" หมอตอบชัด ไม่มีอยู่จริง ",2022-01-08 10:20:00+00:00,nnanews
1479699387865616389,"ไหนใครลือ ""นายกฯ สั่งล็อกดาวน์"" 5 จังหวัด หลังมีความเสี่ยงสูงจากโควิด-19 แพร่ระบาด งานนี้ยืนยันแล้วเป็นข่าวปลอม วอนอย่าหลงเชื่อ ",2022-01-08 06:20:00+00:00,nnanews
1479014122666799104,"ใครบอก ""หน้ากากผ้า"" ป้องกันโควิดสายพันธุ์โอไมครอนไม่ได้ งานนี้กรมอนามัย กระทรวงสาธารณสุข แจงแล้วเป็นข่าวปลอม",2022-01-06 08:57:00+00:00,nnanews
1477957520199073792,"กทม. อัปเดต ""สถานที่เสี่ยงโควิด-19"" จำนวน 36 สถานที่ หลังมีข่าวลือจนชาวเน็ตแห่แชร์ สุดท้ายศูนย์ต่อต้านข่าวปลอม ประเทศไทย โร่ชี้แจงทันที",2022-01-03 10:58:26+00:00,nnanews
1476110753933365249,"ใครบอก หลังฉีด ""วัคซีนโควิด-19"" ห้ามทำฟัน ห้ามฉีดยาชา จกตาสุด",2021-12-29 08:40:03+00:00,nnanews
1474246414611857412,รัฐบาลยืนยันข่าวลือล็อกดาวน์ทั้งประเทศไม่เป็นความจริง,2021-12-24 05:11:50+00:00,PostToday
1477942084921282560,ศูนย์ต่อต้านข่าวปลอม แจง กรณีมีการแชร์ 36 สถานที่เสี่ยงโควิด-19 นั้นไม่เป็นความจริง โดยข้อมูลดังกล่าวไม่ได้มีที่มาจากสำนักงานประชาสัมพันธ์กรุงเทพมหานคร และเป็นการนำข้อมูลเก่าที่มีการแชร์ตั้งแต่เกิดการระบาดของเชื้อโควิด 19 ในช่วงแรกมาแชร์ซ้ำอีกครั้ง,2022-01-03 09:57:06+00:00,onenews31
1485870049281859586,ข่าวปลอม อย่าแชร์  กลุ่มเฟซบุ๊กชื่อ ‘ไทยรู้สู้โควิด’ เป็นกลุ่มของหน่วยงานราชการ,2022-01-25 07:00:00+00:00,AFNCThailand
1485832300692533248,"ข่าวปลอม อย่าแชร์  ธ.ออมสิน เปิดสินเชื่อฉุกเฉิน สำหรับผู้มีรายได้ประจำที่ได้รับผลกระทบจากโควิด 19 วงเงิน 50,000 บาท อนุมัติทุกคน

",2022-01-25 04:30:00+00:00,AFNCThailand
1485537867967320065,"ข่าวปลอม อย่าแชร์  ประกันโควิด-19 ทั้งหมดจะจ่ายเงินค่ารักษา ค่าชดเชยรายได้ ให้เฉพาะผู้ที่ติดเชื้อลงปอดเท่านั้น เริ่มบังคับใช้ 4 ม.ค. 65

",2022-01-24 09:00:02+00:00,AFNCThailand
