news,label
ฟังชัดๆ ทำไมต้องซื้อซิโนแวค 12 ล้านโดส จอห์นสันแอนด์จอห์นสัน ไม่มาในไตรมาส 4 แอสตร้าเซนเนก้า ตั้งเป้า 10 ล้านโดส ได้แค่ 5 ล้านต่อเดือน การซื้อ ซิโนแวค เป็นเรื่องสมเหตุสมผล,TRUE
วัคซีนแก้ขัด ศบค.รับแล้ว เหตุสั่ง ซิโนแวค เพิ่ม 12 ล้านโดส เพราะ จอห์สัน แอนด์จอห์นสัน ส่งไม่ได้ ส่วนแอสตร้าฯ ที่ฟุ้งจะได้ 10 ล้านโดสต่อเดือน ได้เพียง 5 ล้านโดส จึงต้องสั่งมาเสริม,TRUE
ลงทะเบียนกันอีก กรมการแพทย์ เปิดลงทะเบียน คนท้องฉีดไฟเซอร์ 20 ส.ค.นี้,TRUE
ยืนยันฉีดครบล้านโดสแน่ โฆษกรบ. ระบุ ล่าสุดฉีดวัคซีนแล้ว 24 ล้านโดส คาดสิ้นส.ค.จะฉีดครบ 30 ล้านโดส ส่วน ต.ค.-ธ.ค.ฉีดได้เดือนละ 15 ล้านโดส รวมแล้ว 75 ล้านโดส แสดงว่ากย.ต้องฉีดได้ 25 ล้านโดส หรือวันละ 8.3 แสนโดส ขณะที่สังคมตั้งคำถามทำได้ไหม,TRUE
รอต้นปีหน้า มธ.เล็งนำเข้าวัคซีน ‘โนวาแวกซ์’ เป็นบูสเตอร์โดสเข็ม 3 ต้นปี　65,TRUE
ด่วน ครม.ทุ่ม 9.3 พันล้าน ซื้อไฟเซอร์ 20 ล้านโดส ส่งมอบปลายก.ย. เร่งหาอีก 10 ล้านโดส,TRUE
"ลุ้นกันอีก รพ.ธนบุรี เปิดลงทะเบียนโมเดอร์นา 17-20 ส.ค. เข็มละ 1,650 เริ่มฉีดม.ค.-มี.ค.65​",TRUE
100 ล้านโดสมีแน่  อนุชา บูรพชัยศรี โฆษกรบ. ยัน วัคซีนโควิด 100 ล้านโดสในสิ้นปีมีแน่ ฟุ้ง ศบค. มีแล้ว 84 ล้านโดส ครม.อนุมัติซื้อ ไฟเซอร์ 10 ล้านโดส SV 12 ล้านโดส ขอสื่อไม่ต้องกังวล อย่างไรก็ตามรบ.เพิ่งยืมวัคซีนจากภูฏาน 1.5 แสนโดส　รพ.สนามมธ. ต้องยืมวัคซีนมาฉีดให้ประชาชน,TRUE
สุดช้ำ เพจรพ.สนามธรรมศาสตร์ ระบุต้องหยิบยืม วัคซีนแอสตร้าเซนเนก้า จากรพ.อื่นมาฉีดให้ประชาชน หลังจากถูกเทซ้ำเทซ่้อน ถาม AZ ที่จะส่งมอบเดือนส.ค.อยู่ไหน มีแต่ข่าวเพิ่มจุดฉีด แต่ไม่มีวัคซีน แถมยังซื้อซิโนแวคมาอีก สงสัยที่จอง AZ ไว้ 61 ล้านโดสอยู่ไหน,TRUE
พร้อมรับความช่วยเหลือ เผยไทยขอยืม แอสตร้าเซนเนก้า จากภูฏาน ก่อน 1.5 แสนโดส พร้อมรับบริจาคยาจากเยอรมัน ขณะที่สังคมตั้งคำถามโรงงานผลิต วัคซีนโควิด ของไทย ที่อ้างเป็นความมั่นคงของไทย และระบุว่าได้เดือนละ 10 ล้านโดส อยู่ที่ไหน,TRUE
ศบค. อนุมัติซื้อ ซิโนแวค เพิ่มอีก 12 ล้านโดส คงล็อกดาวน์-เคอร์ฟิว 29 จังหวัดต่อถึงสิ้นเดือน ส.ค.,TRUE
