news,label
ระทึก!ไฟไหม้โรงงานโฟมบางพลี เร่งอพยพประชาชนในพื้นที่รัศมี 5 กม. เจ้าหน้าที่ยังคุมสถานการณ์ไม่ได้ ขณะที่ ปภ.ส่งเฮลิคอปเตอร์สนับสนุนจากลพบุรี,TRUE
11.57 น. เฮลิคอปเตอร์ ปภ. KA-32 ถึงสนามบินดอนเมืองแล้ว พร้อมชุดเผชิญสถานการณ์วิกฤต ERT 10 นาย เตรียมขึ้นบิน ระงับเหตุไฟไหม้โรงงานพลาสติก สมุทรปราการ,TRUE
รายงานสด...สั่งอพยพด่วน หวั่นสารเคมีระเบิดซ้ำ ปชช.แห่หนีวุ่น,TRUE
รองผอ.ท่าอากาศยานสุวรรณภูมิ สายปฏิบัติการ 1 ทอท. ระบุ เบื้องต้นกลุ่มควันจากการระเบิดยังไม่ส่งผลต่อทัศนวิสัยการบิน บวท. ยังให้บริการจราจรทางอากาศได้ ,TRUE
ปภ.เตรียมส่งรถหอน้ำ รถเคลื่อนย้ายผู้ประสบภัย ขนโฟมดับเพลิง ช่วยปฏิบัติงานร่วมในพื้นที่ รวมถึงจะส่งเฮลิคอปเตอร์ KA-32จำนวน 2 ลำ พร้อมเจ้าหน้าที่ชุดเผชิญสถานการณ์วิกฤต 10 นาย เข้าร่วมสนับสนุนปฏิบัติการ ,TRUE
ทส. กำชับกรมควบคุมมลพิษ​หาสาเหตุไฟไหม้โรงงานกิ่งแก้ว หวั่นกระทบสุขภาพประชาชน วอนใส่หน้ากากอนามัยเคร่งครัด ป้องกันผลกระทบจากสารเคมี,TRUE
10.50 น. เจ้าหน้าที่ตั้งศูนย์อพยพหลักวัดบางพลีใหญ่กลาง พร้อมนำชาวบ้านในพื้นที่โดยเฉพาะคนแก่ ผู้ป่วย ออกมาอย่างต่อเนื่อง,TRUE
(1) 10.40 น. กรณีเกิดเหตุไฟไหม้โรงงานหมิงตี้ เคมีคอล จำกัด ภายในซอยกิ่งแก้ว บางพลี สมุทรปราการ ปภ.ส่ง จนท. พร้อมรถหอน้ำ 37 เมตร รถกู้ภัยเคลื่อนที่เร็ว รถบรรทุกน้ำช่วยดับเพลิง รถเคลื่อนย้ายผู้ประสบภัยเข้าพื้นที่แล้ว  ขอบคุณข้อมูลจาก  ป่อเต็กตึ๊ง,TRUE
สั่งอพยพด่วน หวั่นสารเคมีระเบิดซ้ำ ปชช.แห่หนีวุ่น  สยองกลางดึก ลูกป่วยจิตคว้าอีโต้สับคอพ่อดับ หนุ่มใหญ่ผงะตื่นมาเจองูเห่าเชื่อวิญญาณเพื่อนเข้าสิง,TRUE
10.20 น. ถนนกิ่งแก้ว ตั้งแต่ช่วงซอยกิ่งแก้ว 4 ไปจนถึงช่วงซอยกิ่งแก้ว 37/5 การจราจรสาหัส รถติดสะสมหนัก ขณะที่ฝั่งกลับกัน ตั้งแต่ช่วงซอยกิ่งแก้ว 58 ไปจนถึงทางคู่ขนานถนนบางนา-ตราด ขณะที่ประชาชนในบริเวณโดยรอบยังไม่สามารถอพยพออกจากพื้นที่,TRUE
เปิดภาพวินาทีโรงงาน หมิงตี้ เคมีคอล จำกัด ซึ่งเป็นโรงงานผลิตเม็ดโฟมพลาสติก เกิดการระเบิด สร้างแรงสั่นสะเทือนไปรอบพื้นที่ ส่งผลให้กระจกบ้านบริเวณใกล้เคียงแตกกระจาย ล่าสุดยังไม่สามารถควบคุมเพลิงไว้ได้ ขอบคุณคลิปจาก @_INTHEICE_ @Tenzehn1,TRUE
จากกรณีโรงงานซอยกิ่งแก้ว 21 เกิดเหตุเพลิงไหม้ ล่าสุดได้มีประกาศจุดอพยพให้แก่ประชาชน 2 จุด คือ 1. โรงเรียนเตรียมปริญญานุสรณ์ 02-316-7233 2. อบต.บางพลีใหญ่ 02-337-3115,TRUE
ด่วน!! นายสมศักดิ์ แก้วเสนา นายอำเภอบางพลี ออกคำสั่งเร่งด่วนให้ประชาชนทุกคนให้ออกห่างรัศมีโรงงานไฟไหม้ในรัศมี 5 กม. เนื่องจากแสงเพลิงเข้าประชิดถังเคมี ขนาดใหญ่ กว่า 2 ตัน ซึ่งมีความรุนแรงกว่าลูกแรงที่ระเบิด ขณะที่นี้เจ้าหน้าที่เร่งควบคุม และขอภาวนาให้คุมได้,TRUE
09.26 น. ในหมู่บ้านศุภาลัยวิลล์ ซอยกิ่งแก้ว 25/1 ประกาศอพยพให้ลูกบ้านออกมาข้างนอก ซึ่งถนนตอนนี้รถติดหนักมาก,TRUE
09.16 น. ปั้มน้ำมันโดยรอบพื้นที่ บริษัท หมิงตี้เคมีคอล จำกัด อ.บางพลี จ.สมุทรปราการ ใกล้จุดเกิดเหตุ ปิดทั้งหมด อพยพพนักงานออกนอกพื้นที่,TRUE
สั่งอพยพออกจากพื้นที่รัศมี 5 กิโลเมตร หวั่นระเบิดซ้ำ ติดตามรายงานสดจากคุณไพจิตร ภานนท์ รายงานสด จากบริษัท หมิงตี้เคมีคอล จำกัด อ.บางพลี จ.สมุทรปราการ ,TRUE
