news,label,type
วัคซีน Pfizer ทำให้กล้ามเนื้อหัวใจอักเสบ,FALSE,FALSE_ACTUAL_TRAIN
กินน้ำใบกะเพรา ช่วยล้างสารพิษจากวัคซีนได้ ,FALSE,FALSE_ACTUAL_TRAIN
คลังชี้แจงลงทะเบียน คนละครึ่ง เฟส 4 16 ม.ค.65,FALSE,FALSE_ACTUAL_TRAIN
วัคซีนแอสตราเซเนกา ทำให้เกิดรอยช้ำทั้งแขน,FALSE,FALSE_ACTUAL_TRAIN
สายด่วนโควิด 1668 ไม่ฟรี ซ้ำเรียกเก็บเงินราคาแพง,FALSE,FALSE_ACTUAL_TRAIN
รัฐบาลยืนยันข่าวลือล็อกดาวน์ทั้งประเทศ,FALSE,FALSE_ACTUAL_TRAIN
แชร์ 36 สถานที่เสี่ยงโควิด-19,FALSE,FALSE_ACTUAL_TRAIN
 กลุ่มเฟซบุ๊กชื่อ ‘ไทยรู้สู้โควิด’ เป็นกลุ่มของหน่วยงานราชการ,FALSE,FALSE_ACTUAL_TRAIN
" ธ.ออมสิน เปิดสินเชื่อฉุกเฉิน สำหรับผู้มีรายได้ประจำที่ได้รับผลกระทบจากโควิด 19 วงเงิน 50,000 บาท อนุมัติทุกคน",FALSE,FALSE_ACTUAL_TRAIN
 ประกันโควิด-19 ทั้งหมดจะจ่ายเงินค่ารักษา ค่าชดเชยรายได้ ให้เฉพาะผู้ที่ติดเชื้อลงปอดเท่านั้น เริ่มบังคับใช้ 4 ม.ค. 65,FALSE,FALSE_ACTUAL_TRAIN
 การสอดไม้ Swab ลึกถึงเพดานจมูก ทำให้เส้นประสาทรับกลิ่นเสียหาย และส่งผลเสียต่อสุขภาพ,FALSE,FALSE_ACTUAL_TRAIN
 รับประทานยาแอสไพรินต่อเนื่อง ช่วยรักษาโควิด-19 ด้วยตนเอง,FALSE,FALSE_ACTUAL_TRAIN
 เชื้อโควิด-19 สายพันธุ์โอมิครอนไม่โจมตีปอด ทำให้อาการเจ็บป่วยไม่รุนแรง,FALSE,FALSE_ACTUAL_TRAIN
 แผ่น Virus Shut Out ช่วยฆ่าเชื้อโรค และเชื้อไวรัสได้ถึง 99.99%,FALSE,FALSE_ACTUAL_TRAIN
