news,label
ฟังชัดๆ ทำไมต้องซื้อซิโนแวค 12 ล้านโดส จอห์นสันแอนด์จอห์นสัน ไม่มาในไตรมาส 4 แอสตร้าเซนเนก้า ตั้งเป้า 10 ล้านโดส ได้แค่ 5 ล้านต่อเดือน การซื้อ ซิโนแวค เป็นเรื่องสมเหตุสมผล,FALSE
วัคซีนแก้ขัด ศบค.รับแล้ว เหตุสั่ง ซิโนแวค เพิ่ม 12 ล้านโดส เพราะ จอห์สัน แอนด์จอห์นสัน ส่งไม่ได้ ส่วนแอสตร้าฯ ที่ฟุ้งจะได้ 10 ล้านโดสต่อเดือน ได้เพียง 5 ล้านโดส จึงต้องสั่งมาเสริม,FALSE
ลงทะเบียนกันอีก กรมการแพทย์ เปิดลงทะเบียน คนท้องฉีดไฟเซอร์ 20 ส.ค.นี้,FALSE
ยืนยันฉีดครบล้านโดสแน่ โฆษกรบ. ระบุ ล่าสุดฉีดวัคซีนแล้ว 24 ล้านโดส คาดสิ้นส.ค.จะฉีดครบ 30 ล้านโดส ส่วน ต.ค.-ธ.ค.ฉีดได้เดือนละ 15 ล้านโดส รวมแล้ว 75 ล้านโดส แสดงว่ากย.ต้องฉีดได้ 25 ล้านโดส หรือวันละ 8.3 แสนโดส ขณะที่สังคมตั้งคำถามทำได้ไหม,FALSE
รอต้นปีหน้า มธ.เล็งนำเข้าวัคซีน ‘โนวาแวกซ์’ เป็นบูสเตอร์โดสเข็ม 3 ต้นปี　65,FALSE
ด่วน ครม.ทุ่ม 9.3 พันล้าน ซื้อไฟเซอร์ 20 ล้านโดส ส่งมอบปลายก.ย. เร่งหาอีก 10 ล้านโดส,FALSE
"ลุ้นกันอีก รพ.ธนบุรี เปิดลงทะเบียนโมเดอร์นา 17-20 ส.ค. เข็มละ 1,650 เริ่มฉีดม.ค.-มี.ค.65​",FALSE
100 ล้านโดสมีแน่  อนุชา บูรพชัยศรี โฆษกรบ. ยัน วัคซีนโควิด 100 ล้านโดสในสิ้นปีมีแน่ ฟุ้ง ศบค. มีแล้ว 84 ล้านโดส ครม.อนุมัติซื้อ ไฟเซอร์ 10 ล้านโดส SV 12 ล้านโดส ขอสื่อไม่ต้องกังวล อย่างไรก็ตามรบ.เพิ่งยืมวัคซีนจากภูฏาน 1.5 แสนโดส　รพ.สนามมธ. ต้องยืมวัคซีนมาฉีดให้ประชาชน,FALSE
สุดช้ำ เพจรพ.สนามธรรมศาสตร์ ระบุต้องหยิบยืม วัคซีนแอสตร้าเซนเนก้า จากรพ.อื่นมาฉีดให้ประชาชน หลังจากถูกเทซ้ำเทซ่้อน ถาม AZ ที่จะส่งมอบเดือนส.ค.อยู่ไหน มีแต่ข่าวเพิ่มจุดฉีด แต่ไม่มีวัคซีน แถมยังซื้อซิโนแวคมาอีก สงสัยที่จอง AZ ไว้ 61 ล้านโดสอยู่ไหน,FALSE
พร้อมรับความช่วยเหลือ เผยไทยขอยืม แอสตร้าเซนเนก้า จากภูฏาน ก่อน 1.5 แสนโดส พร้อมรับบริจาคยาจากเยอรมัน ขณะที่สังคมตั้งคำถามโรงงานผลิต วัคซีนโควิด ของไทย ที่อ้างเป็นความมั่นคงของไทย และระบุว่าได้เดือนละ 10 ล้านโดส อยู่ที่ไหน,FALSE
ศบค. อนุมัติซื้อ ซิโนแวค เพิ่มอีก 12 ล้านโดส คงล็อกดาวน์-เคอร์ฟิว 29 จังหวัดต่อถึงสิ้นเดือน ส.ค.,FALSE
ข่าวดี เปิดผลทดสอบ วัคซีนจุฬาคอฟ กระตุ้นภูมิสูงเทียบเท่าไฟเซอร์,FALSE
สภามหาวิทยาลัยธรรมศาสตร์ แถลง เตรียมนำเข้า วัคซีนโควิด,FALSE
รายละเอียด　ศบค.เผยฉีดไขว้ซิโนแวค-แอสตร้า ภูมิขึ้นสูง 4 เท่า สั่งซื้อซิโนแวคเพิ่มอีก 12 ล้านโดส,FALSE
ซื้อซิโนแวคอีก 12 ล้านโดส นพ.ทวีศิลป์ ระบุแผนจัดการ วัคซีนโควิด ระบุวัคซีนไขว้ ยังไม่มีตาย ยันใช้ SV+AZ ต่อ ชี้ภูมิมากขึ้น 4 เท่า ศบค.เห็นชอบจอง วัคซีนไฟเซอร์ 10 ล้านโดส ซิโนแวค 12 ล้านโดส อื่นๆอีก 10 ล้านโดส แต่ไม่ได้พูดถึง AZ จากโรงงานสยามไบโอไซน์,FALSE
จีนไทยมิใช่อื่นไกล เพจเฟซบุ๊กสถานเอกอัครราชทูตสาธารณรัฐประชาชนจีนประจำประเทศไทย แสดงความยินดีที่ได้ช่วยจัดหา วัคซีนโควิด ให้ไทยแล้ว 24.55 ล้านโดส ล่าสุดวันที่ 15 ส.ค.ที่ผ่านมา ซิโนแวค เข้าไทยอีก 2 ชุด 3 ล้านโดส,FALSE
