news,label
"หน่วยความร่วมมือบริการฉีดวัคซีนโควิด-19 กรุงเทพฯ-หอการค้าไทย ThaiPBS - THG

ขอเชิญผู้ที่มีอายุ 18 ปีขึ้นไป สัญชาติไทย จองคิว ฉีดวัคซีน แอสตราเซเนกา (เข็มที่ 1)

เปิดลงทะเบียนทางโทรศัพท์ 02-790-2855 (40 คู่สาย) 8 ส.ค.นี้ 09.00-16.00 น. หรือจนกว่าจะเต็มจำนวน ",TRUE
"นพ.โสภณ เอี่ยมศิริถาวร รองอธิบดีกรมควบคุมโรค ระบุภายในเดือนนี้แอสตราเซเนกาจะส่งมอบวัคซีนให้ไทยจำนวน 5.4 ล้านโดส ใกล้เคียงกันเดือนที่ผ่านมา และส่วนวัคซีนบริจาคที่มาก็คือวัคซีนแอสตราเซเนกาที่ผลิตที่อังกฤษจำนวน 400,000 กว่าโดส  ",TRUE
"อัปเดต สธ.แถลงข่าวความคืบหน้าสถานการณ์ COVID19 ในไทย

ประเด็น: อัพเดทสถานการณ์วัคซีน โควิด19
โดย
- นพ.โสภณ เอี่ยมศิริถาวร รองอธิบดีกรมควบคุมโรค
- นพ.จักรรัฐ พิทยาวงศ์อานนท์ ผู้อำนวยการกองระบาดวิทยา กรมควบคุมโรค",TRUE
"กรมควบคุมโรค ชี้แจงข้อเท็จจริงกรณีจดหมาย นพ.ยง แจงไม่รับจัดสรรไฟเซอร์ 20 โดส ระบุศูนย์เชี่ยวชาญเฉพาะทางด้านไวรัสวิทยา ดูแลบุคลากรดีไม่ต้องกระตุ้นภูมิ ส่วน อว.ระบุภาพรวมไทยฉีดวัคซีน 19 ล้านโดส มีไฟเซอร์เข็ม 3 จำนวน 1,422 โดส",TRUE
"ความหวังเปลี่ยนเกมวิกฤต โควิด19 ด้วย วัคซีนแบบพ่นจมูก สัญชาติไทย กับ ""ดร.อนันต์ จงแก้ววัฒนา"" ผู้เชี่ยวชาญไวรัสวิทยา ไบโอเทค สวทช.",TRUE
" ภาพรวมผู้ได้รับวัคซีน วันที่ 5 ส.ค. 64 เวลา 18.00 น.
• ยอดฉีดทั่วประเทศเพิ่มขึ้น: 670,834 โดส แบ่งเป็น
• เข็มที่ 1 : 397,275 คน
• เข็มที่ 2 :   98,369 คน
• เข็มที่ 3 :    175,190 คน",TRUE
"ประกาศ! ปิดรับลงทะเบียนจองคิว ฉีดวัคซีน โควิด19 ทางโทรศัพท์ ในผู้สูงอายุ 60 ปีขึ้นไป (เกิดก่อน 17 ก.ค. 2504) ขณะนี้มีผู้ลงทะเบียนเต็มจำนวนแล้ว 3,000 คิว (ประกาศ ณ 6 ส.ค. 64 เวลา 16.00 น.)

หมายเหตุ: หากท่านลงทะเบียนสำเร็จจะมี SMS จากผู้ส่ง",TRUE
"ปิดรับลงทะเบียนจองคิวทางโทรศัพท์ ผู้สูงอายุ 60 ปีขึ้นไป (เกิดก่อน 17 ก.ค.2504) กับหน่วยความร่วมมือบริการ ฉีดวัคซีน โควิด19 กทม.-หอการค้าไทย มีผู้ลงทะเบียนเต็มจำนวนแล้ว 3,000 คิว (ประกาศ ณ 6 ส.ค. 16.00 น.)

หากท่านลงทะเบียนสำเร็จจะมี SMS จากผู้ส่ง ",TRUE
" อัปเดต ยอดผู้ป่วยติดเชื้อ COVID19 ทั่วโลก วันนี้ (6 ส.ค. 64) ณ เวลา 10.00 น.

• ชิลีเตรียมฉีดวัคซีนเข็ม 3 ให้ผู้ที่ฉีดซิโนแวค
• สหรัฐฯ เตรียมฉีดวัคซีนกระตุ้นภูมิให้กลุ่มเสี่ยง",TRUE
ตำรวจเตรียมเรียก นายเเพทย์บุญ วนาสิน รับทราบข้อกล่าวหาในอีก 2 สัปดาห์ กรณีองค์การเภสัชกรรมแจ้งความเอาผิดหมิ่นประมาทด้วยการโฆษณา กรณีการจัดซื้อวัคซีน,TRUE
หากเป็นผู้สูงอายุ 60 ปีขึ้นไป และสะดวกเดินทางมาฉีดวัคซีนที่ ศูนย์ฉีดวัคซีนโควิด-19  SCB สำนักงานใหญ่ รัชโยธิน กทม. ในวันที่ 9 - 11 ส.ค. นี้ สามารถลงทะเบียนได้ค่ะ,TRUE
"อัปเดต 10.50 น. เพิ่มหมายเลขโทรศัพท์จองลงทะเบียน โทร 02-790-2630-3 หรือ 02-790-2111

วันนี้ (6 ส.ค.) เวลา 09.00-16.00 น. เป็นการเปิดให้ลงทะเบียนจองฉีดวัคซีนผู้สูงอายุ 60 ปีขึ้นไป พร้อมผู้ติดตาม 

ย้ำ! เริ่มฉีด 9-11 ส.ค. ณ ศูนย์ ฉีดวัคซีน โควิด19 SCB สำนักงานใหญ่ รัชโยธิน กทม.",TRUE
โมเดอร์นา เผยวัคซีนโควิด-19 ยังมีประสิทธิภาพสูง 93% หลังฉีดเข็มที่ 2 ไปได้แล้ว 6 เดือน พร้อมประกาศจะไม่รับคำสั่งซื้อวัคซีนสำหรับจัดส่งในปีนี้เพิ่มเติม,TRUE
อธิบดีกรมควบคุมโรค ระบุว่าวัคซีน ไฟเซอร์ ชุดแรกทยอยถึงโรงพยาบาล 69 แห่ง ในพื้นที่ 10 จังหวัดแล้ว เพื่อฉีดให้กับบุคลากรทางการแพทย์และสาธารณสุขด่านหน้า โดยตั้งเป้าฉีดให้ครบถ้วนภายในเดือนนี้,TRUE
"ไฮไลต์! ที่นี่ Thai PBS คืนนี้ (5 ส.ค. 64)

• ประเมินการชุมนุม 7 ส.ค.
• บุคลากรด่านหน้าฉีดวัคซีนไฟเซอร์เข็ม 3",TRUE
"เงื่อนไข ผู้ลงทะเบียนจองคิว ฉีดวัคซีน ทางโทรศัพท์ วันศุกร์ที่ 6 ส.ค.

1. ผู้สูงอายุ 1 คน ให้มีผู้ติดตามได้สิทธ์ฉีดวัคซีน 1 คน
2. ขอสงวนสิทธิ์ในการเปลี่ยนคนที่เข้ารับการฉีดวัคซีน
3. ในวันที่นัดหมายให้มาล่วงหน้า 30 นาที เพื่อลดความแออัด-นำบัตรประชาชนตัวจริงมาด้วย ",TRUE
